Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","1991","1991","7021","Annual value","USD","175.2","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","1992","1992","7021","Annual value","USD","246.1","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","1993","1993","7021","Annual value","USD","279.5","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","1994","1994","7021","Annual value","USD","279.7","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","1995","1995","7021","Annual value","USD","318.4","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","1996","1996","7021","Annual value","USD","300.1","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","1997","1997","7021","Annual value","USD","300.2","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","1998","1998","7021","Annual value","USD","305.5","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","1999","1999","7021","Annual value","USD","298.8","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2000","2000","7021","Annual value","USD","279.1","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2001","2001","7021","Annual value","USD","277.4","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2002","2002","7021","Annual value","USD","286.5","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2003","2003","7021","Annual value","USD","290.7","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2004","2004","7021","Annual value","USD","290.4","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2006","2006","7021","Annual value","USD","309.7","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2007","2007","7021","Annual value","USD","319.7","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2008","2008","7021","Annual value","USD","359.8","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2009","2009","7021","Annual value","USD","395.6","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2010","2010","7021","Annual value","USD","413.3","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2011","2011","7021","Annual value","USD","425.1","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2012","2012","7021","Annual value","USD","423.9","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2013","2013","7021","Annual value","USD","423.7","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2014","2014","7021","Annual value","USD","423.9","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2015","2015","7021","Annual value","USD","423.9","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2016","2016","7021","Annual value","USD","454.7","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2017","2017","7021","Annual value","USD","448.9","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2018","2018","7021","Annual value","USD","453","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2019","2019","7021","Annual value","USD","458.8","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2020","2020","7021","Annual value","USD","464.3","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2022","2022","7021","Annual value","USD","115.9","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2023","2023","7021","Annual value","USD","234.7","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01312","Bananas","2024","2024","7021","Annual value","USD","263.2","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01520.01","Cassava, fresh","1996","1996","7021","Annual value","USD","188.6","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01520.01","Cassava, fresh","1997","1997","7021","Annual value","USD","156.3","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01520.01","Cassava, fresh","1998","1998","7021","Annual value","USD","151.8","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01520.01","Cassava, fresh","1999","1999","7021","Annual value","USD","83.2","A","Official figure"
"PP","Producer Prices","188","Costa Rica","5532","Producer Price (USD/tonne)","01520.01","Cassava, fresh","2000","2000","7021","Annual value","USD","117.4","A","Official figure"
