Cultivo,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Set,Oct,Nov,Dic
Manzana Anna de CR,,,0.9342,0.9973,1.0164,1.0208,1.0135,1.0508,0.9522,0.9658,1.0416,
Maracuyá,1.0196,1.0623,1.0215,0.9714,0.9789,0.9797,1.0039,0.9962,0.9841,0.9803,0.9896,1.0126
Melón Cantaloupe,0.8478,0.8122,0.8037,0.8058,0.8815,1.0421,1.0129,0.9877,1.0664,1.2781,1.2432,1.2186
Melón Caribbean,0.999,0.8372,0.8382,0.8154,1.0509,1.2051,1.1733,1.2667,,,1.5603,1.2213
Melón MAG,1.0803,0.9742,0.9484,0.9602,1.1343,,,,,,,
Mora Congelada,,,,,,0.9784,0.9973,1.0089,1.0101,0.9954,1.008,
Mora Fresca,0.9084,0.919,0.903,0.9096,0.9552,1.0277,1.0814,1.1217,1.1069,1.0558,1.0225,0.989
Naranja,0.9387,0.9355,0.9473,0.9552,0.9512,0.9545,1.0163,1.0912,1.0784,1.0736,1.0409,1.0171
Naranjilla,0.991,1.0074,0.9724,0.9854,0.978,0.9972,1.0002,1.0152,1.0121,1.0081,1.0257,1.0073
Papaya Híbrida,1.1874,0.9373,0.8362,0.8787,0.9145,0.8797,0.9618,1.0555,0.9892,0.9529,1.0467,1.3602
Pejiballe,1.1715,1.0681,1.0399,1.0379,1.0584,0.9937,0.9925,0.8543,0.856,0.9455,1.0422,
Piña,0.9958,0.9843,0.9581,0.9318,0.9008,0.9693,1.1214,1.1392,1.0491,0.9779,0.939,1.0332
Pipa,0.9128,0.908,0.912,0.8871,0.9471,1.0286,1.061,1.0998,1.0833,1.0815,1.0353,1.0434
Pitahaya,,,,,,1.0878,0.8941,0.9596,0.9308,0.9384,1.2321,
Plátano Maduro,0.9587,0.8989,0.8657,0.9385,0.999,0.9661,0.9773,1.0938,1.1695,1.071,1.0492,1.0123
Plátano Verde,1.0708,1.0489,1.012,0.9591,0.899,0.8657,0.9382,0.999,0.9662,0.9773,1.0938,1.17
Sandía Grande de Campo,0.9693,0.7714,0.7431,0.7653,0.7921,0.9993,1.0476,1.0459,1.2319,1.1747,1.1909,1.2686
Sandía Mediana de Campo,0.9726,0.7444,0.6809,0.7025,0.7862,1.0214,1.0792,1.0604,1.2611,1.215,1.2108,1.2653
Tamarindo,0.9392,0.9575,1.0033,1.0319,1.0107,0.9813,0.9747,0.9889,1.0085,1.0421,1.0619,1.0671
Apio Verde,0.9189,0.8625,0.8166,0.7903,0.8145,0.923,1.1803,1.2544,1.175,1.0962,1.0732,1.095
Ayote Sazón,0.9892,1.0465,1.0276,1.0312,0.9447,0.9319,1.05,0.9595,0.892,1.0105,1.0846,1.0323
Ayote Tierno,1.1373,1.2336,1.1197,0.9374,0.989,0.9301,0.9186,0.9018,0.8118,0.8511,1.018,1.1515
Brócoli,1.1258,1.2498,1.101,0.7061,0.6488,1.1025,1.2551,1.0256,0.8017,0.7744,0.9275,1.2817
Camote,1.1538,0.9997,0.9243,0.8706,0.8269,0.7967,0.9214,1.065,1.1033,1.0162,1.1033,1.2187
Cebolla Seca Amarilla Burra,1.3888,1.0913,0.8494,0.7318,0.7343,0.8973,1.1314,1.0838,0.7823,0.8422,1.0735,1.394
Cebolla Seca Amarilla Suelta,1.3623,1.0739,0.8434,0.7325,0.746,0.9211,1.1554,1.0563,0.7635,0.8423,1.0923,1.4111
Cebolla Seca Amarilla Trenza,1.3672,1.0724,0.8421,0.732,0.7461,0.9207,1.1541,1.0558,0.7622,0.8411,1.0894,1.4169
Cebolla Seca Morada,1.202,1.0563,0.8875,0.78,0.7672,0.9544,1.1194,1.1277,0.993,0.9132,1.0203,1.1792
Cebollino,1.0329,0.9791,0.9367,0.9142,0.8984,0.9026,0.9587,0.9865,0.992,0.9946,1.0901,1.3142
Chayote Tierno Criollo,0.7634,1.0634,1.1059,0.9809,1.1918,1.1964,1.1045,1.1802,1.1498,0.8537,0.7226,0.6875
Chayote Tierno Quelite,0.8589,1.038,1.1013,0.9468,1.1226,1.1044,1.0216,1.1445,1.2237,0.9301,0.7741,0.7341
Chile Dulce,1.0265,0.9743,0.9401,0.9961,0.8197,0.867,1.1424,1.0337,0.9159,0.9952,1.0052,1.2838
Coliflor,0.9743,1.0651,1.071,0.8781,0.7675,0.8451,1.2367,1.2572,1.0018,0.8812,0.8963,1.1257
Culantro Castilla,0.6718,0.8447,0.8594,0.8773,1.0927,1.4345,1.0204,0.7705,0.9314,1.2653,1.1473,1.0847
Elote,1.0841,0.995,1.0278,0.9819,0.9457,1.0253,1.0148,1.0034,1.0086,0.9826,0.9582,0.9725
Espinaca,0.9562,0.9024,0.881,0.8421,0.8657,0.9096,1.0697,1.1013,1.0278,1.0352,1.1395,1.2694
Jenjibre Sazón,0.9299,0.9171,0.8896,0.9799,0.9812,1.0216,1.1571,1.1233,1.0407,1.0604,1.0824,0.8778
Lechuga Americana,0.9893,0.957,0.9323,0.9292,0.9366,1.0737,1.0847,0.9973,0.9507,0.9864,1.0588,1.1041
Ñampí,0.8691,0.9037,0.9316,1.0178,1.1272,1.2175,1.1757,1.1266,0.9925,0.9115,0.8476,0.8792
