producto,unidad,mayorista,minimo,maximo,moda,promedio,fecha,año,mes,año_mes,producto_limpio,producto_estandar
Apio verde (mata),Mata,Mata,1200.0,1500.0,1500.0,1392.31,2026-01-15,2026,1,2026-01,Apio Verde,Apio Verde
Ayote sazón,Kilo,Kilo,300.0,400.0,350.0,361.54,2026-01-15,2026,1,2026-01,Ayote Sazón,Ayote Sazón
Banano maduro criollo,Unidad,Unidad,30.0,30.0,30.0,30.0,2026-01-15,2026,1,2026-01,Banano Maduro Criollo,Banano Maduro Criollo
Banano rechazo de exportación (verde y maduro),Caja,Caja,3000.0,3200.0,3000.0,3050.0,2026-01-15,2026,1,2026-01,Banano Rechazo De Exportación,Banano Rechazo De Exportación
Brócoli,Kilo,Kilo,1400.0,2000.0,1800.0,1785.71,2026-01-15,2026,1,2026-01,Brócoli,Brócoli
Camote,Kilo,Kilo,700.0,800.0,800.0,777.78,2026-01-15,2026,1,2026-01,Camote,Camote
Cebolla seca amarilla burra,Kilo,Kilo,650.0,750.0,700.0,686.67,2026-01-15,2026,1,2026-01,Cebolla Seca Amarilla Burra,Cebolla Seca Amarilla Burra
Cebolla seca amarilla suelta,Kilo,Kilo,650.0,750.0,700.0,686.67,2026-01-15,2026,1,2026-01,Cebolla Seca Amarilla Suelta,Cebolla Seca Amarilla Suelta
Cebolla seca amarilla trenza,Kilo,Kilo,650.0,750.0,700.0,686.67,2026-01-15,2026,1,2026-01,Cebolla Seca Amarilla Trenza,Cebolla Seca Amarilla Trenza
Cebolla seca morada,Kilo,Kilo,1700.0,2000.0,1800.0,1846.15,2026-01-15,2026,1,2026-01,Cebolla Seca Morada,Cebolla Seca Morada
Chayote tierno criollo,Java,Java,10000.0,12000.0,12000.0,11076.92,2026-01-15,2026,1,2026-01,Chayote Tierno Criollo,Chayote Tierno Criollo
Chayote tierno quelite,Java,Java,8000.0,12000.0,10000.0,10000.0,2026-01-15,2026,1,2026-01,Chayote Tierno Quelite,Chayote Tierno Quelite
