Cultivo,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Set,Oct,Nov,Dic
Camote,1.1538,0.9997,0.9243,0.8706,0.8269,0.7967,0.9214,1.0650,1.1033,1.0162,1.1033,1.2187
Palmito,1.1164,1.0725,1.1024,1.1383,0.9556,0.9459,0.9036,0.979,0.9176,0.9132,0.9698,0.9856
Papa Amarilla,1.1541,1.0518,1.0,1.0532,0.9742,0.99,1.0233,0.8497,0.8441,0.925,0.9747,1.16
Papa Blanca,1.1659,1.0465,0.9753,1.0157,0.9049,0.9432,0.9822,0.8954,0.8979,0.9783,1.0165,1.1782
Pepino,1.1655,1.0788,1.0983,0.8907,0.9243,1.1153,0.9218,0.8605,0.8171,0.9698,1.0553,1.1027
Remolacha,1.0881,1.083,1.0674,0.9859,0.8714,0.861,0.8914,0.9817,0.9895,0.968,1.047,1.1656
Repollo Morado,1.1409,1.2408,1.1599,0.9249,0.7694,0.7512,0.8458,1.0526,1.101,0.9105,0.9511,1.1518
Repollo Verde,1.1143,1.2584,1.133,0.8687,0.7025,0.7808,0.9596,1.1252,0.9915,0.9772,0.9746,1.1142
Suquini,1.1539,1.3003,1.1358,0.8143,0.8617,0.9919,0.8793,0.849,0.7896,0.8977,1.0788,1.2476
Tiquisque,0.9929,0.91,0.8724,0.8851,0.9183,0.9616,0.9963,1.0893,1.1444,1.1152,1.0645,1.05
Tomate,1.2036,0.9955,0.9853,0.8986,0.7354,0.8686,0.9978,1.0611,0.7797,0.9616,1.1522,1.3605
Vainica,1.0909,1.1355,1.0796,0.8291,0.934,1.0787,0.7662,0.887,0.9597,0.9871,1.0626,1.1897
Yuca Parafinada,1.0106,0.948,0.9713,1.0232,1.008,1.0173,1.0301,0.9877,0.9606,1.0241,0.9793,1.0398
Zanahoria,0.9693,0.7714,0.7431,0.7653,0.7921,0.9993,1.0476,1.0459,1.2319,1.1747,1.1909,1.2686
