producto,precio_general
Aguacate Hass Costa Rica,1725.0
Aguacate Hass De Chile Super Extra,24333.33
Aguacate Hass De Chile Supremo,24750.0
Aguacate Hass De Costa Rica Extra,1476.666
Aguacate Hass De Costa Rica Super Extra,1639.0485714285714
Aguacate Hass De Costa Rica Supremo,1810.4757142857143
Aguacate Hass De México Extra,15250.0
Aguacate Hass De México Super Extra,17555.56
Aguacate Hass De México Supremo,19500.0
Ajo De China Puro Blanco,15877.776666666667
Ajo De China Veteado,13711.806666666665
Apio Verde,1236.6375675675677
Arándano Bandeja,1328.57
Ayote Sazón,361.85162162162163
Ayote Sazón Mantequilla,713.705
Ayote Tierno,498.68954545454545
Banano Maduro Criollo,29.56945945945946
Banano Maduro Rechazo De Exportación,2905.0
Banano Rechazo De Exportación,3040.508
Banano Verde Rechazo De Exportación,2905.0
Brócoli,1305.678108108108
Camote,742.9732432432432
Camote Zanahoria,1589.5223529411765
Carambola,730.9024999999999
Cas,1104.3971428571429
Cebolla Seca Amarilla Burra,774.2954054054054
Cebolla Seca Amarilla Suelta,757.7978378378378
Cebolla Seca Amarilla Suelta Importada,833.33
Cebolla Seca Amarilla Trenza,758.5694594594595
Cebolla Seca Morada,1844.2554054054053
Cebollino,238.61714285714285
Chayote Tierno Criollo,14182.18918918919
Chayote Tierno Quelite,12834.358108108108
Chile Dulce Jumbo,24982.37891891892
Chile Dulce Primera,22821.688648648647
Chile Dulce Segunda,18260.703513513516
Chile Dulce Tercera,10499.244324324323
Ciruela Importada,2866.67
Coco,500.0
Coliflor,862.1175675675676
Culantro Castilla De,856.0372972972973
Elote,144.1324324324324
Espinaca,246.5457142857143
Fresa Bandeja,1741.763409090909
Granadilla Primera,194.5725
Granadilla Segunda,166.5825
Guanábana Injertada,1735.1417647058825
Guayaba China Taiwanesa,937.1045
Jengibre Sazón,1017.5464864864865
Kiwi,2575.0
Lechuga Americana,234.92216216216218
Limón Dulce,167.1725
Limón Mandarina,86.3027027027027
Limón Mesino,133.64675675675676
Mandarina Clementina,2050.0
Mandarina Primera,195.35405405405407
Mandarina Segunda,144.4056756756757
Manga Grande Cavallini,17533.94090909091
Manga Grande Haden,6940.0
Manga Grande Keitt,11578.0509375
Manga Grande Tommy,17748.596285714284
Manga Pequeña Irwin,7000.0
Manga Pequeña Mora,15000.0
Manzana Gala,22180.555
Manzana Golden,28200.0
Manzana Roja,22875.0
Manzana Verde,25000.0
Maracuyá,1129.1218181818183
Melocotón,2528.57
Melón Cantaloupe,553.8291891891892
Mora Congelada,1756.7386363636363
Mora Fresca,1758.480909090909
Naranja Dulce,113.64594594594594
Naranja Washington Importada,1633.33
Naranjilla,1437.7145
Nectarina,2528.57
Papa Amarilla,34074.59567567568
Papa Blanca,36772.708108108105
Papa Polilla,6957.184285714286
Papa Roja,25936.57416666667
Papa Semilla,15991.660000000002
Papa Semillón,15996.41909090909
Papaya Híbrida,381.85891891891896
Pejibaye,1338.0957142857144
Pepino,588.2775675675675
Pera De Argentina,25666.67
Pera De Estados Unidos,24600.0
Pipa Pelada,290.5935
Piña,981.1244444444445
Plátano Maduro,237.22000000000003
Plátano Primera,234.38257142857142
Plátano Segunda,191.00628571428572
Plátano Verde,237.22000000000003
Remolacha,287.5881081081081
Repollo Morado,669.6035135135136
Repollo Verde,327.41135135135136
Sandía Grande de Campo,404.4889189189189
Sandía Mediana de Campo,295.36648648648645
Tamarindo,1999.286
Tiquisque,1540.9686486486485
Tomate,8360.158648648649
Uva Globo De Perú,17750.0
Uva Verde,29142.86
Vainica,1524.5535135135135
Yuca Parafinada,626.8510810810811
Zanahoria,11618.405675675676
Zuquini,381.9190476190476
Ñampí,829.2218918918919
