producto,año,mes,precio_promedio,desv_estandar,num_registros
Aguacate Hass Costa Rica,2025,12,1725.0,,1
Aguacate Hass De Chile Super Extra,2026,1,24333.33,0.0,2
Aguacate Hass De Chile Supremo,2026,1,24750.0,0.0,2
Aguacate Hass De Costa Rica Extra,2026,1,1476.666,54.77469014061155,5
Aguacate Hass De Costa Rica Super Extra,2026,1,1639.0485714285714,65.0256604294467,7
Aguacate Hass De Costa Rica Supremo,2026,1,1810.4757142857143,55.49279949000678,7
Aguacate Hass De México Extra,2026,1,15250.0,0.0,2
Aguacate Hass De México Super Extra,2026,1,17555.56,0.0,2
Aguacate Hass De México Supremo,2026,1,19500.0,0.0,2
Ajo De China Puro Blanco,2026,1,15877.776666666667,984.472093919714,6
Ajo De China Veteado,2026,1,13711.806666666665,2677.9131247496925,6
Apio Verde,2025,12,1395.0,7.0710678118654755,2
Apio Verde,2026,1,1290.3845,112.0942792321667,20
Apio Verde,2026,2,1143.8600000000001,68.40371825733284,15
Arándano Bandeja,2026,1,1328.57,0.0,2
Ayote Sazón,2025,12,329.065,1.3222896808188471,2
Ayote Sazón,2026,1,351.738,11.062712906068976,20
Ayote Sazón,2026,2,379.70799999999997,23.47680015918452,15
Ayote Sazón Mantequilla,2025,12,775.0,,1
Ayote Sazón Mantequilla,2026,1,764.3850000000001,48.270142757383496,12
Ayote Sazón Mantequilla,2026,2,639.3211111111111,51.39657319424232,9
Ayote Tierno,2025,12,403.13,,1
Ayote Tierno,2026,1,496.7675,88.09440257989772,12
Ayote Tierno,2026,2,511.87,64.75191155479504,9
Banano Maduro Criollo,2025,12,30.5,0.7071067811865476,2
Banano Maduro Criollo,2026,1,29.545499999999997,1.0195431123276433,20
Banano Maduro Criollo,2026,2,29.477333333333334,0.7931804574592329,15
Banano Maduro Rechazo De Exportación,2025,12,2905.0,77.78174593052023,2
Banano Rechazo De Exportación,2026,1,3095.4425,183.87960640407016,20
Banano Rechazo De Exportación,2026,2,2967.262,76.68353457089529,15
Banano Verde Rechazo De Exportación,2025,12,2905.0,77.78174593052023,2
Brócoli,2025,12,1764.1750000000002,0.7566042558696412,2
Brócoli,2026,1,1242.96,229.33471387793364,20
Brócoli,2026,2,1328.1693333333335,114.88773765641619,15
Camote,2025,12,825.79,26.37508293825831,2
Camote,2026,1,776.2165,29.44451021569394,20
Camote,2026,2,687.6066666666667,43.26769128950392,15
Camote Zanahoria,2025,12,1700.0,,1
Camote Zanahoria,2026,1,1550.019090909091,52.42690386710732,11
Camote Zanahoria,2026,2,1654.334,86.08567116541523,5
Carambola,2025,12,740.0,,1
Carambola,2026,1,733.3836363636364,34.7314342556501,11
Carambola,2026,2,726.35375,23.17935592443044,8
Cas,2025,12,1200.0,,1
Cas,2026,1,1209.286,38.762404208201495,5
Cas,2026,2,1026.89125,90.42764849591087,8
Cebolla Seca Amarilla Burra,2025,12,829.615,20.668731214082797,2
